S1G_Index,S1G_Freq_MHz,S1G_BW_MHz,5GHz_Channel,5GHz_Freq_MHz,5GHz_BW_Masqueraded_MHz,EIRP_dBm,DFS,LBT_Win_Max_us,LBT_Win_Length_us
1,918.0,1,149,5745,20,4,false,4000000,50000
2,918.5,2,151,5755,40,4,false,4000000,50000
3,919.0,1,153,5765,20,4,false,4000000,50000
5,920.0,1,157,5785,20,4,false,4000000,50000
6,920.5,2,159,5795,40,4,false,4000000,50000
7,921.0,1,161,5805,20,4,false,4000000,50000
8,921.5,4,163,5815,80,4,false,4000000,50000
9,922.0,1,165,5825,20,10,false,4000000,50000
10,922.5,2,167,5835,40,10,false,4000000,50000
11,923.0,1,169,5845,20,10,false,4000000,50000
18,926.5,1,183,5915,20,17,false,220000,264
19,927.0,2,185,5925,40,20,false,220000,264
20,927.5,1,187,5935,20,17,false,220000,264
22,928.5,1,191,5955,20,20,false,220000,264
23,929.0,2,193,5965,40,20,false,220000,264
24,929.5,1,195,5975,20,20,false,220000,264
